Customer_id,First_name,Last_name,Phone,Email,Email_website,Street,City,State,Zip _code
1,Debra,Burks,NA,debra.burks@yahoo.com,yahoo.com,9273 Thorne Ave.,Orchard Park,NY,14127
2,Kasha,Todd,NA,kasha.todd@yahoo.com,yahoo.com,910 Vine Street,Campbell,CA,95008
3,Tameka,Fisher,NA,tameka.fisher@aol.com,aol.com,769C Honey Creek St.,Redondo Beach,CA,90278
4,Daryl,Spence,NA,daryl.spence@aol.com,aol.com,988 Pearl Lane,Uniondale,NY,11553
5,Charolette,Rice,(916) 381-6003,charolette.rice@msn.com,msn.com,107 River Dr.,Sacramento,CA,95820
6,Lyndsey,Bean,NA,lyndsey.bean@hotmail.com,hotmail.com,769 West Road,Fairport,NY,14450
7,Latasha,Hays,(716) 986-3359,latasha.hays@hotmail.com,hotmail.com,7014 Manor Station Rd.,Buffalo,NY,14215
8,Jacquline,Duncan,NA,jacquline.duncan@yahoo.com,yahoo.com,15 Brown St.,Jackson Heights,NY,11372
9,Genoveva,Baldwin,NA,genoveva.baldwin@msn.com,msn.com,8550 Spruce Drive,Port Washington,NY,11050
10,Pamelia,Newman,NA,pamelia.newman@gmail.com,gmail.com,476 Chestnut Ave.,Monroe,NY,10950
11,Deshawn,Mendoza,NA,deshawn.mendoza@yahoo.com,yahoo.com,8790 Cobblestone Street,Monsey,NY,10952
12,Robby,Sykes,(516) 583-7761,robby.sykes@hotmail.com,hotmail.com,486 Rock Maple Street,Hempstead,NY,11550
13,Lashawn,Ortiz,NA,lashawn.ortiz@msn.com,msn.com,27 Washington Rd.,Longview,TX,75604
14,Garry,Espinoza,NA,garry.espinoza@hotmail.com,hotmail.com,7858 Rockaway Court,Forney,TX,75126
15,Linnie,Branch,NA,linnie.branch@gmail.com,gmail.com,314 South Columbia Ave.,Plattsburgh,NY,12901
16,Emmitt,Sanchez,(212) 945-8823,emmitt.sanchez@hotmail.com,hotmail.com,461 Squaw Creek Road,New York,NY,10002
17,Caren,Stephens,NA,caren.stephens@msn.com,msn.com,914 Brook St.,Scarsdale,NY,10583
18,Georgetta,Hardin,NA,georgetta.hardin@aol.com,aol.com,474 Chapel Dr.,Canandaigua,NY,14424
19,Lizzette,Stein,NA,lizzette.stein@yahoo.com,yahoo.com,19 Green Hill Lane,Orchard Park,NY,14127
20,Aleta,Shepard,NA,aleta.shepard@aol.com,aol.com,684 Howard St.,Sugar Land,TX,77478
21,Tobie,Little,NA,tobie.little@gmail.com,gmail.com,10 Silver Spear Dr.,Victoria,TX,77904
22,Adelle,Larsen,NA,adelle.larsen@gmail.com,gmail.com,683 West Kirkland Dr.,East Northport,NY,11731
23,Kaylee,English,NA,kaylee.english@msn.com,msn.com,8786 Fulton Rd.,Hollis,NY,11423
24,Corene,Wall,NA,corene.wall@msn.com,msn.com,9601 Ocean Rd.,Atwater,CA,95301
25,Regenia,Vaughan,NA,regenia.vaughan@gmail.com,gmail.com,44 Stonybrook Street,Mahopac,NY,10541
26,Theo,Reese,(562) 215-2907,theo.reese@gmail.com,gmail.com,8755 W. Wild Horse St.,Long Beach,NY,11561
27,Santos,Valencia,NA,santos.valencia@yahoo.com,yahoo.com,7479 Carpenter Street,Sunnyside,NY,11104
28,Jeanice,Frost,NA,jeanice.frost@hotmail.com,hotmail.com,76 Devon Lane,Ossining,NY,10562
29,Syreeta,Hendricks,NA,syreeta.hendricks@msn.com,msn.com,193 Spruce Road,Mahopac,NY,10541
30,Jamaal,Albert,NA,jamaal.albert@gmail.com,gmail.com,853 Stonybrook Street,Torrance,CA,90505
31,Williemae,Holloway,(510) 246-8375,williemae.holloway@msn.com,msn.com,69 Cypress St.,Oakland,CA,94603
32,Araceli,Golden,NA,araceli.golden@msn.com,msn.com,12 Ridgeview Ave.,Fullerton,CA,92831
33,Deloris,Burke,NA,deloris.burke@hotmail.com,hotmail.com,895 Edgemont Drive,Palos Verdes Peninsula,CA,90274
34,Brittney,Woodward,NA,brittney.woodward@aol.com,aol.com,960 River St.,East Northport,NY,11731
35,Guillermina,Noble,NA,guillermina.noble@msn.com,msn.com,6 Del Monte Lane,Baldwinsville,NY,13027
36,Bernita,Mcdaniel,NA,bernita.mcdaniel@hotmail.com,hotmail.com,2 Peg Shop Ave.,Liverpool,NY,13090
37,Melia,Brady,NA,melia.brady@gmail.com,gmail.com,907 Shirley Rd.,Maspeth,NY,11378
38,Zelma,Browning,NA,zelma.browning@aol.com,aol.com,296 Second Street,Astoria,NY,11102
39,Janetta,Aguirre,(717) 670-2634,janetta.aguirre@aol.com,aol.com,214 Second Court,Lancaster,NY,14086
40,Ronna,Butler,NA,ronna.butler@gmail.com,gmail.com,9438 Plymouth Court,Encino,CA,91316
41,Kathie,Freeman,NA,kathie.freeman@msn.com,msn.com,667 Temple Dr.,Queensbury,NY,12804
42,Tangela,Quinn,NA,tangela.quinn@aol.com,aol.com,4 S. Purple Finch Road,Richmond Hill,NY,11418
43,Mozelle,Carter,(281) 489-9656,mozelle.carter@aol.com,aol.com,895 Chestnut Ave.,Houston,TX,77016
44,Onita,Johns,NA,onita.johns@msn.com,msn.com,32 Glen Creek Lane,Elmont,NY,11003
45,Bennett,Armstrong,NA,bennett.armstrong@aol.com,aol.com,688 Walnut Street,Bethpage,NY,11714
46,Monika,Berg,NA,monika.berg@gmail.com,gmail.com,369 Vernon Dr.,Encino,CA,91316
47,Bridgette,Guerra,NA,bridgette.guerra@hotmail.com,hotmail.com,9982 Manor Drive,San Lorenzo,CA,94580
48,Cesar,Jackson,NA,cesar.jackson@gmail.com,gmail.com,8068 N. Griffin Ave.,Liverpool,NY,13090
49,Caroll,Hays,NA,caroll.hays@yahoo.com,yahoo.com,9381 Wrangler St.,Fairport,NY,14450
50,Cleotilde,Booth,NA,cleotilde.booth@gmail.com,gmail.com,17 Corona St.,Sugar Land,TX,77478
51,Gertrud,Rhodes,NA,gertrud.rhodes@aol.com,aol.com,9961 Meadowbrook Street,Merrick,NY,11566
52,Tu,Ramirez,NA,tu.ramirez@hotmail.com,hotmail.com,24 W. Courtland Street,East Elmhurst,NY,11369
53,Saturnina,Garner,NA,saturnina.garner@gmail.com,gmail.com,8538 Fairground St.,Glendora,CA,91740
54,Fran,Yang,NA,fran.yang@hotmail.com,hotmail.com,440 Pearl St.,Utica,NY,13501
55,Diana,Guerra,NA,diana.guerra@hotmail.com,hotmail.com,45 Chapel Ave.,Merrick,NY,11566
56,Lolita,Mosley,(281) 363-3309,lolita.mosley@hotmail.com,hotmail.com,376 S. High Ridge St.,Houston,TX,77016
57,Pamala,Henry,NA,pamala.henry@aol.com,aol.com,197 Bridgeton Ave.,Bronx,NY,10451
58,Damien,Dorsey,NA,damien.dorsey@yahoo.com,yahoo.com,161 Old York Street,Central Islip,NY,11722
59,Latasha,Stanley,NA,latasha.stanley@gmail.com,gmail.com,8068 Fordham Drive,Rockville Centre,NY,11570
60,Neil,Mccall,NA,neil.mccall@gmail.com,gmail.com,7476 Oakland Dr.,San Carlos,CA,94070
61,Elinore,Aguilar,NA,elinore.aguilar@msn.com,msn.com,9766 Rockcrest Ave.,San Angelo,TX,76901
62,Alica,Hunter,NA,alica.hunter@hotmail.com,hotmail.com,8 San Juan Drive,East Elmhurst,NY,11369
63,Tenisha,Lyons,NA,tenisha.lyons@aol.com,aol.com,78 E. Rock Creek Street,Amityville,NY,11701
64,Bobbie,Foster,NA,bobbie.foster@yahoo.com,yahoo.com,988 Pineknoll Ave.,Desoto,TX,75115
65,Kanesha,Vega,NA,kanesha.vega@gmail.com,gmail.com,771 E. Oxford Drive,Rome,NY,13440
66,Lorrie,Becker,NA,lorrie.becker@yahoo.com,yahoo.com,19 North Court,Garland,TX,75043
67,Tommie,Melton,(916) 802-2952,tommie.melton@gmail.com,gmail.com,8 West Old York St.,Sacramento,CA,95820
68,Jayne,Kirkland,NA,jayne.kirkland@hotmail.com,hotmail.com,7800 Second Lane,Rowlett,TX,75088
69,Katelin,Kennedy,NA,katelin.kennedy@gmail.com,gmail.com,286 Myrtle Lane,Rocklin,CA,95677
70,Tomasa,Carson,NA,tomasa.carson@aol.com,aol.com,10 Clark Avenue,East Elmhurst,NY,11369
71,Takako,Casey,NA,takako.casey@aol.com,aol.com,7548 Court Lane,Bronx,NY,10451
72,Petronila,Norris,NA,petronila.norris@aol.com,aol.com,72 South Marshall Lane,South El Monte,CA,91733
73,Melanie,Hayes,NA,melanie.hayes@msn.com,msn.com,5 N. Hall Dr.,Liverpool,NY,13090
74,Georgeann,Waller,NA,georgeann.waller@yahoo.com,yahoo.com,9797 Bald Hill Ave.,North Tonawanda,NY,14120
75,Abby,Gamble,NA,abby.gamble@aol.com,aol.com,60 Myers Dr.,Amityville,NY,11701
76,Parker,Prince,NA,parker.prince@hotmail.com,hotmail.com,21 Sulphur Springs Drive,Port Jefferson Station,NY,11776
77,Keri,Bridges,NA,keri.bridges@gmail.com,gmail.com,8504 Brickell Ave.,Richardson,TX,75080
78,Chi,Goff,NA,chi.goff@aol.com,aol.com,3 W. Glen Ridge Avenue,Palos Verdes Peninsula,CA,90274
79,Ashanti,Parks,NA,ashanti.parks@hotmail.com,hotmail.com,846 N. Helen St.,Baldwin,NY,11510
80,Sarai,Mckee,(716) 912-8110,sarai.mckee@msn.com,msn.com,641 Glenwood Avenue,Buffalo,NY,14215
81,Zina,Bonner,NA,zina.bonner@hotmail.com,hotmail.com,9312 8th Street,San Lorenzo,CA,94580
82,Lizzie,Joyner,NA,lizzie.joyner@msn.com,msn.com,8541 Roberts St.,Coachella,CA,92236
83,Tiesha,Daniel,NA,tiesha.daniel@yahoo.com,yahoo.com,6 West Bohemia Lane,Scarsdale,NY,10583
84,Armand,Whitehead,NA,armand.whitehead@hotmail.com,hotmail.com,639 Harvey St.,Lindenhurst,NY,11757
85,Teofila,Fischer,NA,teofila.fischer@aol.com,aol.com,1 West Brickyard St.,Huntington Station,NY,11746
86,Lissa,Vargas,NA,lissa.vargas@yahoo.com,yahoo.com,517 Victoria Ave.,Oswego,NY,13126
87,Yan,Mcgowan,NA,yan.mcgowan@msn.com,msn.com,8960 Newport Ave.,Duarte,CA,91010
88,Titus,Bullock,NA,titus.bullock@gmail.com,gmail.com,29 Oxford Avenue,Hollis,NY,11423
89,Arvilla,Osborn,NA,arvilla.osborn@gmail.com,gmail.com,60 Acacia Lane,Upland,CA,91784
90,Marjorie,Logan,NA,marjorie.logan@msn.com,msn.com,95 Grandrose St.,Franklin Square,NY,11010
